tilltalsnamn,2014,2015,2016,2017,2018,2019
Alivia,6,3,3,4,6,5
Alix,0,0,0,0,0,0
Aliya,17,15,17,16,31,23
Aliyah,10,16,24,19,10,15
Aliyar,0,0,0,2,0,0
Aliz,3,0,0,0,0,0
Aliza,3,5,8,5,3,5
Alizah,0,0,0,2,0,0
Alize,0,2,2,0,2,2
Alizé,2,0,0,0,0,0
Alizia,4,5,5,7,7,3
Alizza,0,0,0,0,0,0
Aljona,0,2,0,0,0,0
Alketa,0,0,0,0,0,0
Allaa,0,0,2,0,0,0
Allan,54,52,52,82,70,65
Alland,0,0,0,0,0,0
Allegra,0,0,3,0,0,2
Allen,2,5,2,3,2,5
Allex,0,0,0,0,0,0
Allfred,0,0,0,0,0,0
Alli,3,3,0,3,2,3
Allie,19,18,17,15,24,23
Allin,0,0,0,0,0,0
Allina,0,0,0,0,0,0
Allis,13,14,6,10,6,11
Allison,0,3,6,6,5,5
Allrik,0,0,2,0,0,0
Allvin,0,0,0,0,0,0
Allwin,0,0,0,0,0,0
Ally,27,27,16,27,33,27
Allyson,0,0,2,0,0,0
Alma,532,497,547,532,564,561
Almaas,0,3,0,0,6,5
Almar,0,2,2,4,2,0
Almas,0,3,3,4,5,2
Almasa,2,0,0,0,0,0
Alma-Sofia,0,0,0,0,0,0
Almaz,0,0,0,0,0,0
Almedin,0,0,0,0,0,0
Almedina,2,0,3,0,0,0
Almer,0,0,0,0,0,5
Almida,0,0,0,0,0,0
Almin,6,4,7,5,3,3
Almina,6,5,5,4,2,2
Almir,2,7,6,7,7,4
Almira,2,4,0,4,3,5
Alnd,0,0,0,0,0,0
Alona,0,0,0,0,0,0
Alondra,0,2,0,0,0,0
Aloniab,0,2,2,2,5,3
Alonso,2,2,0,0,0,0
Alonzo,0,0,0,0,2,0
Alora,0,0,0,2,0,0
Alp,3,0,0,2,5,5
Alpacino,0,0,0,0,0,0
Alparslan,0,2,0,4,0,3
Alpaslan,0,0,0,0,0,0
Alper,3,2,3,3,0,2
Alperen,0,2,0,0,5,0
Alpha,0,0,2,0,0,3
Alphons,0,0,0,0,0,0
Alphonse,0,0,0,0,0,0
Alrik,6,2,5,9,8,5
Altay,2,0,2,0,2,0
Altea,0,4,6,0,4,6
Althea,11,11,11,7,8,10
